id,age,cc_avg_time_per_month,cc_spend_per_month++,kp_spend_per_month++,kp_avg_time_per_month,1,2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0
50001,3,1.319540148604683,20.107179646011442,23.178850426437013,1.4345352261929687,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50002,4,0.0,0.0,30.65191870499115,1.8621800160211697,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50003,4,0.0,0.0,34.452980294832585,1.8203341036428238,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50004,4,1.1133843646427297,13.180948839543527,15.339177903989034,1.3782017963726023,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50005,4,1.319540148604683,17.205564626712967,33.86634202403955,1.7329556373258737,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50006,3,0.0,0.0,28.888819190249535,1.4887326185792666,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50007,5,0.862312903045703,12.764431121777944,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50008,3,1.9811782143135137,16.677716700036015,45.18354537044295,1.8621800160211697,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50009,3,1.1943176378757767,13.60848846456955,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50010,5,0.0,0.0,29.928023538012557,0.862312903045703,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50011,5,0.7304631471189666,11.574819345696639,29.388519520483687,1.7685244437086272,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50012,5,1.1943176378757767,14.410139546408471,19.07225658555652,1.777285278780658,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50013,4,1.7329556373258737,21.24302290592306,38.99590498764177,1.777285278780658,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50014,4,1.5409627556327752,22.486683259918568,36.7464354351078,1.6872592197086782,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50015,4,0.7304631471189666,24.372409434977847,49.993045503361984,1.777285278780658,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50016,4,0.0,0.0,21.768037119387635,1.4887326185792666,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50017,3,0.0,0.0,39.147437133092275,1.8621800160211697,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50018,4,2.6532978187436327,19.615033432261452,24.266473312774224,0.9355532237698291,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50019,3,1.5409627556327752,15.339177903989034,18.93602545150284,0.9034968205628578,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50020,3,0.0,0.0,27.07670785741933,1.4345352261929687,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50021,3,0.7304631471189666,13.856094820831991,23.86598116941246,1.3782017963726023,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50022,6,1.7329556373258737,19.265459456804372,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50023,4,0.0,0.0,22.193982969659572,1.0566537151222417,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50024,4,1.3432975971899863,17.598036767345558,36.78389300855977,1.5409627556327752,0,1,0,0,0,0,0,0,0,0,1,0,0,0
50025,3,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50026,5,2.8418560738456735,26.238819059404015,50.57466065783461,1.7329556373258737,1,0,0,0,1,0,0,0,0,0,0,0,0,0
