,id,age,cc_avg_time_per_month,cc_spend_per_month++,kp_spend_per_month++,kp_avg_time_per_month,1,2,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,income
0,1,5,,,3500.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20000
1,2,4,8.8,14385.0,221600.0,4.166666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,106000
2,3,3,,,112983.33333333333,3.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29000
3,4,5,24.5,500000.0,13602916.666666666,4.166666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,61000
4,5,4,1.5,6000.0,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18000
5,6,3,,,98800.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19000
6,7,5,,,1473916.6666666667,4.166666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,53000
7,8,3,,,8229833.333333333,4.166666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16000
8,9,4,,,2033.3333333333333,2.3333333333333335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19000
9,10,3,,,24166.666666666668,3.3333333333333335,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17000
10,11,4,2.2,8320.0,749233.3333333334,4.166666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28000
11,12,4,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,31000
12,13,3,,,15816.666666666666,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22000
13,14,5,5.666666666666667,14000.000000000002,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19000
14,15,3,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,26000
15,16,4,3.833333333333333,13366.666666666666,41400.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13000
16,17,3,,,355850.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75000
17,18,4,,,63166.666666666664,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10000
18,19,4,3.0,15333.333333333334,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,26000
19,20,3,1.0,9000.0,350.0,1.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11000
20,21,3,,,367366.6666666667,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,49000
21,22,4,,,506000.0,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,59000
22,23,4,,,59100.0,2.6666666666666665,0,1,0,0,0,0,0,0,0,0,1,0,0,0,33000
23,24,4,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25000
24,25,5,,,857783.3333333334,4.166666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,79000
25,26,4,,,76380.0,3.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,29000
26,27,5,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11000
27,28,4,,,80933.33333333333,3.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26000
28,29,3,2.5,5650.0,29000.0,1.6666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14000
29,30,5,1.0,6000.0,1733.3333333333333,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12000
30,31,3,,,3665616.6666666665,4.166666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,37000
31,32,3,9.666666666666666,15733.333333333332,161400.0,2.1666666666666665,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18000
32,33,3,3.0,6366.666666666666,57166.666666666664,3.3333333333333335,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16000
33,34,3,2.0,3500.0,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44000
34,35,2,1.0,11000.0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,14000
35,36,5,,,3770233.3333333335,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20000
36,37,4,,,1763750.0,3.8333333333333335,0,1,0,0,1,0,0,0,0,0,0,0,0,0,57000
37,38,4,1.0,4650.0,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15000
38,39,4,3.6666666666666665,6449.999999999999,131900.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,60000
39,40,4,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,21000
40,41,4,3.4,3700.0,47966.666666666664,3.1666666666666665,1,0,0,0,0,0,0,0,0,0,1,0,0,0,95000
41,42,3,6.666666666666667,9916.666666666668,1033016.6666666666,4.166666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,112000
42,43,3,2.2,2160.0000000000005,45533.333333333336,2.6666666666666665,0,1,0,0,0,0,0,0,0,0,1,0,0,0,18000
43,44,4,,,11683.333333333334,1.6666666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25000
44,45,4,3.5,8900.0,400466.6666666667,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,66000
45,46,3,,,116650.0,3.3333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21000
46,47,5,2.5,4550.0,24220.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11000
47,48,5,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26000
48,49,5,3.25,3475.0,75820.0,2.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,38000
49,50,4,,,217766.66666666666,3.6666666666666665,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32000
50,51,3,1.0,3200.0,209600.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,29000
51,52,4,2.5,4250.0,336850.0,3.8333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20000
52,53,4,5.533333333333333,43043.333333333336,235283.33333333334,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,57000
53,54,4,,,102333.33333333333,3.8333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15000
54,55,5,,,138533.33333333334,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,39000
55,56,4,,,186500.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,81000
56,57,4,,,35355766.666666664,4.166666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,41000
57,58,3,,,66216.66666666667,3.1666666666666665,1,0,0,0,0,0,0,0,0,0,1,0,0,0,26000
58,59,4,,,21716.666666666668,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20000
59,60,4,,,9925.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40000
60,61,5,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,27000
61,62,4,,,2123116.6666666665,4.166666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20000
62,63,3,2.0,8000.0,6633.333333333333,2.3333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21000
63,64,3,,,256650.0,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19000
64,65,4,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22000
65,66,5,4.833333333333333,4950.0,49800.0,2.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,51000
66,67,3,,,195750.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,41000
67,68,3,4.4,12220.000000000002,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,255000
68,69,4,,,383700.0,3.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37000
69,70,4,1.5,7400.0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47000
70,71,4,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45000
71,72,3,,,80340.0,2.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17000
72,73,4,,,6666.666666666667,2.3333333333333335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,37000
73,74,5,11.333333333333332,179933.33333333334,5785083.333333333,3.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,200000
74,75,5,,,680883.3333333334,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,54000
75,76,3,,,163700.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,34000
76,77,4,3.1666666666666665,2249.9999999999995,90983.33333333333,2.8333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,41000
77,78,3,9.8,9720.000000000002,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41000
78,79,4,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45000
79,80,4,1.0,3040.0,100.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,22000
80,81,4,,,415316.6666666667,3.3333333333333335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,66000
81,82,4,1.0,7000.0,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11000
82,83,4,,,46966.666666666664,3.3333333333333335,0,1,0,0,1,0,0,0,0,0,0,0,0,0,41000
83,84,4,2.6,5580.0,25166.666666666668,2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15000
84,85,4,,,94583.33333333333,2.8333333333333335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32000
85,86,3,1.5,8050.0,25800.0,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22000
86,87,5,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20000
87,88,2,1.0,3100.0,64683.333333333336,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14000
88,89,3,,,229716.66666666666,3.8333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12000
89,90,6,2.333333333333333,18666.666666666664,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23000
90,91,3,,,1629983.3333333333,4.166666666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27000
91,92,3,,,216316.66666666666,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,34000
92,93,3,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20000
93,94,6,,,5400.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14000
94,95,3,,,14400.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,46000
95,96,4,,,155350.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23000
96,97,3,7.5,9800.0,73483.33333333333,2.3333333333333335,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35000
97,98,3,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,75000
